,State,City,Month,Day,Year,AvgTemperature,county_name,date
9131,Alabama,Birmingham,1,1,2020,44.4,Jefferson,2020-1-1
9132,Alabama,Birmingham,1,2,2020,51.3,Jefferson,2020-1-2
9133,Alabama,Birmingham,1,3,2020,60.4,Jefferson,2020-1-3
9134,Alabama,Birmingham,1,4,2020,54.6,Jefferson,2020-1-4
9135,Alabama,Birmingham,1,5,2020,40.9,Jefferson,2020-1-5
9136,Alabama,Birmingham,1,6,2020,49.5,Jefferson,2020-1-6
9137,Alabama,Birmingham,1,7,2020,54.7,Jefferson,2020-1-7
9138,Alabama,Birmingham,1,8,2020,44.9,Jefferson,2020-1-8
9139,Alabama,Birmingham,1,9,2020,47.9,Jefferson,2020-1-9
9140,Alabama,Birmingham,1,10,2020,64.2,Jefferson,2020-1-10
9141,Alabama,Birmingham,1,11,2020,68.0,Jefferson,2020-1-11
9142,Alabama,Birmingham,1,12,2020,55.6,Jefferson,2020-1-12
9143,Alabama,Birmingham,1,13,2020,60.4,Jefferson,2020-1-13
9144,Alabama,Birmingham,1,14,2020,64.4,Jefferson,2020-1-14
9145,Alabama,Birmingham,1,15,2020,63.0,Jefferson,2020-1-15
9146,Alabama,Birmingham,1,16,2020,61.9,Jefferson,2020-1-16
9147,Alabama,Birmingham,1,17,2020,53.9,Jefferson,2020-1-17
9148,Alabama,Birmingham,1,18,2020,53.9,Jefferson,2020-1-18
9149,Alabama,Birmingham,1,19,2020,47.5,Jefferson,2020-1-19
9150,Alabama,Birmingham,1,20,2020,31.0,Jefferson,2020-1-20
9151,Alabama,Birmingham,1,21,2020,28.9,Jefferson,2020-1-21
9152,Alabama,Birmingham,1,22,2020,35.4,Jefferson,2020-1-22
9153,Alabama,Birmingham,1,23,2020,43.0,Jefferson,2020-1-23
9154,Alabama,Birmingham,1,24,2020,51.3,Jefferson,2020-1-24
9155,Alabama,Birmingham,1,25,2020,41.8,Jefferson,2020-1-25
9156,Alabama,Birmingham,1,26,2020,42.8,Jefferson,2020-1-26
9157,Alabama,Birmingham,1,27,2020,49.7,Jefferson,2020-1-27
9158,Alabama,Birmingham,1,28,2020,40.9,Jefferson,2020-1-28
9159,Alabama,Birmingham,1,29,2020,51.3,Jefferson,2020-1-29
9160,Alabama,Birmingham,1,30,2020,47.8,Jefferson,2020-1-30
9161,Alabama,Birmingham,1,31,2020,50.0,Jefferson,2020-1-31
9162,Alabama,Birmingham,2,1,2020,47.7,Jefferson,2020-2-1
9163,Alabama,Birmingham,2,2,2020,47.9,Jefferson,2020-2-2
9164,Alabama,Birmingham,2,3,2020,59.8,Jefferson,2020-2-3
9165,Alabama,Birmingham,2,4,2020,63.8,Jefferson,2020-2-4
9166,Alabama,Birmingham,2,5,2020,66.8,Jefferson,2020-2-5
9167,Alabama,Birmingham,2,6,2020,58.2,Jefferson,2020-2-6
9168,Alabama,Birmingham,2,7,2020,40.6,Jefferson,2020-2-7
9169,Alabama,Birmingham,2,8,2020,45.8,Jefferson,2020-2-8
9170,Alabama,Birmingham,2,9,2020,46.6,Jefferson,2020-2-9
9171,Alabama,Birmingham,2,10,2020,57.5,Jefferson,2020-2-10
9172,Alabama,Birmingham,2,11,2020,59.3,Jefferson,2020-2-11
9173,Alabama,Birmingham,2,12,2020,58.1,Jefferson,2020-2-12
9174,Alabama,Birmingham,2,13,2020,57.7,Jefferson,2020-2-13
9175,Alabama,Birmingham,2,14,2020,40.1,Jefferson,2020-2-14
9176,Alabama,Birmingham,2,15,2020,40.9,Jefferson,2020-2-15
9177,Alabama,Birmingham,2,16,2020,51.1,Jefferson,2020-2-16
9178,Alabama,Birmingham,2,17,2020,50.8,Jefferson,2020-2-17
9179,Alabama,Birmingham,2,18,2020,60.1,Jefferson,2020-2-18
9180,Alabama,Birmingham,2,19,2020,53.2,Jefferson,2020-2-19
9181,Alabama,Birmingham,2,20,2020,47.3,Jefferson,2020-2-20
9182,Alabama,Birmingham,2,21,2020,37.7,Jefferson,2020-2-21
9183,Alabama,Birmingham,2,22,2020,39.2,Jefferson,2020-2-22
9184,Alabama,Birmingham,2,23,2020,45.7,Jefferson,2020-2-23
9185,Alabama,Birmingham,2,24,2020,49.1,Jefferson,2020-2-24
9186,Alabama,Birmingham,2,25,2020,57.5,Jefferson,2020-2-25
9187,Alabama,Birmingham,2,26,2020,47.2,Jefferson,2020-2-26
9188,Alabama,Birmingham,2,27,2020,40.1,Jefferson,2020-2-27
9189,Alabama,Birmingham,2,28,2020,42.4,Jefferson,2020-2-28
9190,Alabama,Birmingham,2,29,2020,47.2,Jefferson,2020-2-29
9191,Alabama,Birmingham,3,1,2020,51.6,Jefferson,2020-3-1
9192,Alabama,Birmingham,3,2,2020,57.5,Jefferson,2020-3-2
9193,Alabama,Birmingham,3,3,2020,66.0,Jefferson,2020-3-3
9194,Alabama,Birmingham,3,4,2020,57.9,Jefferson,2020-3-4
9195,Alabama,Birmingham,3,5,2020,52.9,Jefferson,2020-3-5
9196,Alabama,Birmingham,3,6,2020,50.4,Jefferson,2020-3-6
9197,Alabama,Birmingham,3,7,2020,45.3,Jefferson,2020-3-7
9198,Alabama,Birmingham,3,8,2020,51.8,Jefferson,2020-3-8
9199,Alabama,Birmingham,3,9,2020,59.4,Jefferson,2020-3-9
9200,Alabama,Birmingham,3,10,2020,64.6,Jefferson,2020-3-10
9201,Alabama,Birmingham,3,11,2020,64.7,Jefferson,2020-3-11
9202,Alabama,Birmingham,3,12,2020,68.7,Jefferson,2020-3-12
9203,Alabama,Birmingham,3,13,2020,67.3,Jefferson,2020-3-13
9204,Alabama,Birmingham,3,14,2020,65.7,Jefferson,2020-3-14
9205,Alabama,Birmingham,3,15,2020,63.7,Jefferson,2020-3-15
9206,Alabama,Birmingham,3,16,2020,58.9,Jefferson,2020-3-16
9207,Alabama,Birmingham,3,17,2020,67.2,Jefferson,2020-3-17
9208,Alabama,Birmingham,3,18,2020,69.2,Jefferson,2020-3-18
9209,Alabama,Birmingham,3,19,2020,72.8,Jefferson,2020-3-19
9210,Alabama,Birmingham,3,20,2020,72.2,Jefferson,2020-3-20
9211,Alabama,Birmingham,3,21,2020,60.3,Jefferson,2020-3-21
9212,Alabama,Birmingham,3,22,2020,53.4,Jefferson,2020-3-22
9213,Alabama,Birmingham,3,23,2020,65.1,Jefferson,2020-3-23
9214,Alabama,Birmingham,3,24,2020,68.7,Jefferson,2020-3-24
9215,Alabama,Birmingham,3,25,2020,67.4,Jefferson,2020-3-25
9216,Alabama,Birmingham,3,26,2020,65.8,Jefferson,2020-3-26
9217,Alabama,Birmingham,3,27,2020,75.2,Jefferson,2020-3-27
9218,Alabama,Birmingham,3,28,2020,75.2,Jefferson,2020-3-28
9219,Alabama,Birmingham,3,29,2020,72.6,Jefferson,2020-3-29
9220,Alabama,Birmingham,3,30,2020,66.0,Jefferson,2020-3-30
9221,Alabama,Birmingham,3,31,2020,57.4,Jefferson,2020-3-31
9222,Alabama,Birmingham,4,1,2020,52.5,Jefferson,2020-4-1
9223,Alabama,Birmingham,4,2,2020,56.3,Jefferson,2020-4-2
9224,Alabama,Birmingham,4,3,2020,60.6,Jefferson,2020-4-3
9225,Alabama,Birmingham,4,4,2020,65.1,Jefferson,2020-4-4
9226,Alabama,Birmingham,4,5,2020,69.8,Jefferson,2020-4-5
9227,Alabama,Birmingham,4,6,2020,69.8,Jefferson,2020-4-6
9228,Alabama,Birmingham,4,7,2020,67.8,Jefferson,2020-4-7
9229,Alabama,Birmingham,4,8,2020,70.3,Jefferson,2020-4-8
9230,Alabama,Birmingham,4,9,2020,70.6,Jefferson,2020-4-9
9231,Alabama,Birmingham,4,10,2020,58.1,Jefferson,2020-4-10
9232,Alabama,Birmingham,4,11,2020,54.0,Jefferson,2020-4-11
9233,Alabama,Birmingham,4,12,2020,63.0,Jefferson,2020-4-12
9234,Alabama,Birmingham,4,13,2020,63.0,Jefferson,2020-4-13
9235,Alabama,Birmingham,4,14,2020,53.2,Jefferson,2020-4-14
9236,Alabama,Birmingham,4,15,2020,49.5,Jefferson,2020-4-15
9237,Alabama,Birmingham,4,16,2020,52.6,Jefferson,2020-4-16
9238,Alabama,Birmingham,4,17,2020,61.3,Jefferson,2020-4-17
9239,Alabama,Birmingham,4,18,2020,62.4,Jefferson,2020-4-18
9240,Alabama,Birmingham,4,19,2020,54.8,Jefferson,2020-4-19
9241,Alabama,Birmingham,4,20,2020,62.9,Jefferson,2020-4-20
9242,Alabama,Birmingham,4,21,2020,62.3,Jefferson,2020-4-21
9243,Alabama,Birmingham,4,22,2020,58.2,Jefferson,2020-4-22
9244,Alabama,Birmingham,4,23,2020,61.6,Jefferson,2020-4-23
9245,Alabama,Birmingham,4,24,2020,65.6,Jefferson,2020-4-24
9246,Alabama,Birmingham,4,25,2020,67.1,Jefferson,2020-4-25
9247,Alabama,Birmingham,4,26,2020,60.8,Jefferson,2020-4-26
9248,Alabama,Birmingham,4,27,2020,57.6,Jefferson,2020-4-27
9249,Alabama,Birmingham,4,28,2020,64.9,Jefferson,2020-4-28
9250,Alabama,Birmingham,4,29,2020,68.5,Jefferson,2020-4-29
9251,Alabama,Birmingham,4,30,2020,61.2,Jefferson,2020-4-30
9252,Alabama,Birmingham,5,1,2020,61.7,Jefferson,2020-5-1
9253,Alabama,Birmingham,5,2,2020,67.4,Jefferson,2020-5-2
9254,Alabama,Birmingham,5,3,2020,73.0,Jefferson,2020-5-3
9255,Alabama,Birmingham,5,4,2020,75.0,Jefferson,2020-5-4
9256,Alabama,Birmingham,5,5,2020,73.9,Jefferson,2020-5-5
9257,Alabama,Birmingham,5,6,2020,65.0,Jefferson,2020-5-6
9258,Alabama,Birmingham,5,7,2020,55.8,Jefferson,2020-5-7
9259,Alabama,Birmingham,5,8,2020,58.1,Jefferson,2020-5-8
9260,Alabama,Birmingham,5,9,2020,54.4,Jefferson,2020-5-9
9261,Alabama,Birmingham,5,10,2020,57.1,Jefferson,2020-5-10
9262,Alabama,Birmingham,5,11,2020,59.5,Jefferson,2020-5-11
9263,Alabama,Birmingham,5,12,2020,61.6,Jefferson,2020-5-12
9264,Alabama,Birmingham,5,13,2020,64.7,Jefferson,2020-5-13
18396,Alabama,Huntsville,1,1,2020,40.8,Madison,2020-1-1
18397,Alabama,Huntsville,1,2,2020,47.9,Madison,2020-1-2
18398,Alabama,Huntsville,1,3,2020,54.9,Madison,2020-1-3
18399,Alabama,Huntsville,1,4,2020,50.2,Madison,2020-1-4
18400,Alabama,Huntsville,1,5,2020,38.8,Madison,2020-1-5
18401,Alabama,Huntsville,1,6,2020,45.1,Madison,2020-1-6
18402,Alabama,Huntsville,1,7,2020,50.8,Madison,2020-1-7
18403,Alabama,Huntsville,1,8,2020,42.7,Madison,2020-1-8
18404,Alabama,Huntsville,1,9,2020,45.9,Madison,2020-1-9
18405,Alabama,Huntsville,1,10,2020,60.1,Madison,2020-1-10
18406,Alabama,Huntsville,1,11,2020,65.5,Madison,2020-1-11
18407,Alabama,Huntsville,1,12,2020,51.8,Madison,2020-1-12
18408,Alabama,Huntsville,1,13,2020,50.7,Madison,2020-1-13
18409,Alabama,Huntsville,1,14,2020,60.3,Madison,2020-1-14
18410,Alabama,Huntsville,1,15,2020,62.7,Madison,2020-1-15
18411,Alabama,Huntsville,1,16,2020,56.6,Madison,2020-1-16
18412,Alabama,Huntsville,1,17,2020,45.9,Madison,2020-1-17
18413,Alabama,Huntsville,1,18,2020,51.6,Madison,2020-1-18
18414,Alabama,Huntsville,1,19,2020,42.3,Madison,2020-1-19
18415,Alabama,Huntsville,1,20,2020,26.3,Madison,2020-1-20
18416,Alabama,Huntsville,1,21,2020,27.2,Madison,2020-1-21
18417,Alabama,Huntsville,1,22,2020,32.0,Madison,2020-1-22
18418,Alabama,Huntsville,1,23,2020,41.6,Madison,2020-1-23
18419,Alabama,Huntsville,1,24,2020,47.3,Madison,2020-1-24
18420,Alabama,Huntsville,1,25,2020,39.9,Madison,2020-1-25
18421,Alabama,Huntsville,1,26,2020,37.3,Madison,2020-1-26
